branch,commit_hash,author,email,date,message
"main","c575cab395b9eda38c142a61a122b71544d9c505","Cireneu Araujo","cireneuguilhermeteixeira","Mon Jun 9 13:34:48 2025 -0300","Merge branch 'main' of https://github.com/cireneuguilhermeteixeira/tile38-poc"
"main","f931c6ea26517685d6711db764b21c3a9e33dd1e","Cireneu Araujo","cireneuguilhermeteixeira","Mon Jun 9 13:34:38 2025 -0300","adding slides"
"main","23720d6dada6e6ccecf7515e69113ca7263a7dad","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jun 8 18:00:36 2025 -0300","Adding readme"
"main","ffa077267d09db80591402d1934ec3240bab6473","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jun 8 17:28:48 2025 -0300","Adding id and updating current area location"
"main","ca44653d6efea7cadea05ea2f3bae888485ed689","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jun 8 17:26:58 2025 -0300","Creating logic to change the color when user in inside of area and outside area"
"main","711681d8483ce97960957942709dc4b73b345740","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 7 19:14:32 2025 -0300","Fixing position normalizer"
"main","0cf64e04325cf5e82dc62286fbba436ac155db90","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 7 17:15:12 2025 -0300","adding visual map to represent the map"
"main","27c18d48e37ba6ca64972917b3aacb456a8ede2f","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 7 17:14:51 2025 -0300","fixing erro with websocket not present"
"main","2f996829c834ca06c8411a0958753eb7e602579c","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 7 16:29:11 2025 -0300","fixing cors issue"
"main","ace189c3f454c0578f8fdbe8f3b11b6b974f5521","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 7 16:28:59 2025 -0300","adding initial code to get user location"
"main","5e2bf48da6cbcee5077811bb1a9da0f082e71002","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 7 16:12:38 2025 -0300","adding websocket"
"main","4f551884567275fa658e975163f67a89d58a4538","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 7 15:56:10 2025 -0300","creating initial expo application"
"main","2235319bc5455e72a3f0de6ed47a777b63abb7dc","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 6 01:30:26 2025 -0300","fixing hook logic and polygon"
